departamentos,key_fecha,programatica1_ano,id_detail,pct_cobertura
CAQUETA,1,9227,231,0.79
CAQUETA,1,9227,232,0.76
CAQUETA,1,9227,233,0.78
CAQUETA,1,9227,234,0.72
CAQUETA,1,9227,235,0.78
CAQUETA,1,9227,236,0.76
CAQUETA,1,9227,237,0.72
CAQUETA,1,9227,238,0.72
CAQUETA,1,9227,239,0.72
CAQUETA,1,9227,240,0.69
CAQUETA,1,9227,241,0.51
CAQUETA,1,9227,242,0.78
CAQUETA,1,9227,243,0.76
CAQUETA,1,9227,244,0.79
CAQUETA,1,9227,245,0.78
CAQUETA,1,9227,246,0.82
CAQUETA,1,9227,247,0.77
CAQUETA,1,9227,248,0.68
CAQUETA,1,9227,249,0.68
CAQUETA,1,9227,250,0.76
CAQUETA,1,9227,251,0.76
CAQUETA,1,9227,252,0.76
CAQUETA,1,9227,253,0.64
CASANARE,1,7749,254,0.83
CASANARE,1,7749,255,0.81
CASANARE,1,7749,256,0.88
CASANARE,1,7749,257,0.89
CASANARE,1,7749,258,0.88
CASANARE,1,7749,259,0.89
CASANARE,1,7749,260,0.89
CASANARE,1,7749,261,0.87
CASANARE,1,7749,262,0.88
CASANARE,1,7749,263,0.8
CASANARE,1,7749,264,0.58
CASANARE,1,7749,265,0.88
CASANARE,1,7749,266,0.89
CASANARE,1,7749,267,0.92
CASANARE,1,7749,268,0.92
CASANARE,1,7749,269,0.93
CASANARE,1,7749,270,0.92
CASANARE,1,7749,271,0.92
CASANARE,1,7749,272,0.92
CASANARE,1,7749,273,0.92
CASANARE,1,7749,274,0.92
CASANARE,1,7749,275,0.92
CASANARE,1,7749,276,0.69
CAUCA,1,23092,277,0.74
CAUCA,1,23092,278,0.72
CAUCA,1,23092,279,0.9
CAUCA,1,23092,280,0.89
CAUCA,1,23092,281,0.9
CAUCA,1,23092,282,0.9
CAUCA,1,23092,283,0.89
CAUCA,1,23092,284,0.87
CAUCA,1,23092,285,0.87
CAUCA,1,23092,286,0.81
CAUCA,1,23092,287,0.58
CAUCA,1,23092,288,0.89
CAUCA,1,23092,289,0.87
CAUCA,1,23092,290,0.91
CAUCA,1,23092,291,0.9
CAUCA,1,23092,292,0.77
CAUCA,1,23092,293,0.88
CAUCA,1,23092,294,0.83
CAUCA,1,23092,295,0.83
CAUCA,1,23092,296,0.91
CAUCA,1,23092,297,0.9
CAUCA,1,23092,298,0.9
CAUCA,1,23092,299,0.66
CESAR,1,24015,300,0.86
CESAR,1,24015,301,0.83
CESAR,1,24015,302,0.93
CESAR,1,24015,303,0.89
CESAR,1,24015,304,0.93
CESAR,1,24015,305,0.92
CESAR,1,24015,306,0.89
CESAR,1,24015,307,0.9
CESAR,1,24015,308,0.89
CESAR,1,24015,309,0.8
CESAR,1,24015,310,0.59
CESAR,1,24015,311,0.93
CESAR,1,24015,312,0.91
CESAR,1,24015,313,0.92
CESAR,1,24015,314,0.89
CESAR,1,24015,315,0.73
CESAR,1,24015,316,0.91
CESAR,1,24015,317,0.89
CESAR,1,24015,318,0.89
CESAR,1,24015,319,0.92
CESAR,1,24015,320,0.92
CESAR,1,24015,321,0.92
CESAR,1,24015,322,0.78
CHOCO,1,11728,323,0.78
CHOCO,1,11728,324,0.58
CHOCO,1,11728,325,0.88
CHOCO,1,11728,326,0.77
CHOCO,1,11728,327,0.88
CHOCO,1,11728,328,0.83
CHOCO,1,11728,329,0.77
CHOCO,1,11728,330,0.69
CHOCO,1,11728,331,0.69
CHOCO,1,11728,332,0.73
CHOCO,1,11728,333,0.45
CHOCO,1,11728,334,0.87
CHOCO,1,11728,335,0.82
CHOCO,1,11728,336,0.94
CHOCO,1,11728,337,0.91
CHOCO,1,11728,338,0.87
CHOCO,1,11728,339,0.88
CHOCO,1,11728,340,0.62
CHOCO,1,11728,341,0.62
CHOCO,1,11728,342,0.77
CHOCO,1,11728,343,0.77
CHOCO,1,11728,344,0.77
CHOCO,1,11728,345,0.54
CORDOBA,1,32371,346,0.74
CORDOBA,1,32371,347,0.73
CORDOBA,1,32371,348,0.88
CORDOBA,1,32371,349,0.91
CORDOBA,1,32371,350,0.88
CORDOBA,1,32371,351,0.88
CORDOBA,1,32371,352,0.91
CORDOBA,1,32371,353,0.86
CORDOBA,1,32371,354,0.87
CORDOBA,1,32371,355,0.77
CORDOBA,1,32371,356,0.51
CORDOBA,1,32371,357,0.86
CORDOBA,1,32371,358,0.86
CORDOBA,1,32371,359,0.89
CORDOBA,1,32371,360,0.87
CORDOBA,1,32371,361,0.72
CORDOBA,1,32371,362,0.85
CORDOBA,1,32371,363,0.84
CORDOBA,1,32371,364,0.83
CORDOBA,1,32371,365,0.9
CORDOBA,1,32371,366,0.9
CORDOBA,1,32371,367,0.9
CORDOBA,1,32371,368,0.69
CUNDINAMARCA,1,39124,369,0.47
CUNDINAMARCA,1,39124,370,0.47
CUNDINAMARCA,1,39124,371,0.81
CUNDINAMARCA,1,39124,372,0.82
CUNDINAMARCA,1,39124,373,0.81
CUNDINAMARCA,1,39124,374,0.82
CUNDINAMARCA,1,39124,375,0.82
CUNDINAMARCA,1,39124,376,0.8
CUNDINAMARCA,1,39124,377,0.82
CUNDINAMARCA,1,39124,378,0.68
CUNDINAMARCA,1,39124,379,0.47
CUNDINAMARCA,1,39124,380,0.8
CUNDINAMARCA,1,39124,381,0.82
CUNDINAMARCA,1,39124,382,0.84
CUNDINAMARCA,1,39124,383,0.83
CUNDINAMARCA,1,39124,384,0.7
CUNDINAMARCA,1,39124,385,0.83
CUNDINAMARCA,1,39124,386,0.82
CUNDINAMARCA,1,39124,387,0.82
CUNDINAMARCA,1,39124,388,0.84
CUNDINAMARCA,1,39124,389,0.84
CUNDINAMARCA,1,39124,390,0.83
CUNDINAMARCA,1,39124,391,0.62
GUAINIA,1,853,392,1.13
GUAINIA,1,853,393,0.91
GUAINIA,1,853,394,1.1
GUAINIA,1,853,395,0.84
GUAINIA,1,853,396,1.1
GUAINIA,1,853,397,0.97
GUAINIA,1,853,398,0.83
